Unnamed: 0,Character,Dialogue,EpisodeNo,SEID,Season
-1, None, None, None, None, None
0,JERRY,"know about? know, here? out, out...and one single enjoyable experiences life. People...did ever hear people talking go out? theyre talking about...this whole thing, now, one home. one person home, out! people tryin find us, dont know are. (on imaginary phone) ring?, cant find him. go? didnt tell going. must gone out. wanna go get ready, pick clothes, right? take shower, get ready, get cash, get friends, car, spot, reservation...Then youre standing around, whatta do? go gotta getting back. youre out, wanna get back! wanna go sleep, wanna get up, wanna go tomorrow, right? ever life, feeling, youve gotta go.",1,S01E01,1
1,JERRY,"(pointing Georges shirt) See, me, button worst possible spot. second button literally makes breaks shirt, look it. high! no-mans-land. look like live mother.",1,S01E01,1
2,GEORGE,through?,1,S01E01,1
3,JERRY,"course try on, buy?",1,S01E01,1
4,GEORGE,"Yes, purple, liked it, dont actually recall considering buttons.",1,S01E01,1
5,JERRY,"Oh, dont recall?",1,S01E01,1
6,GEORGE,"(on imaginary microphone) Uh, no, time.",1,S01E01,1
7,JERRY,"Well, senator, Id like know, knew knew it.",1,S01E01,1
9,GEORGE,"Are, sure decaf? Wheres orange indicator?",1,S01E01,1
11,JERRY,"relax, cup coffee. Claire professional waitress.",1,S01E01,1
13,GEORGE,come youre doin second show tomorrow?,1,S01E01,1
14,JERRY,"Well, theres uh, woman might comin in.",1,S01E01,1
15,GEORGE,"Wait second, wait second, coming in, woman coming in?",1,S01E01,1
16,JERRY,"told Laura, girl met Michigan?",1,S01E01,1
17,GEORGE,"No, didnt!",1,S01E01,1
18,JERRY,"thought told it, yes, teaches political science? met night show Lansing...",1,S01E01,1
19,GEORGE,Ha.,1,S01E01,1
20,JERRY,"(looks creamer) Theres milk here, what...",1,S01E01,1
21,GEORGE,"Wait wait wait, she... (takes milk Jerry puts table) like?",1,S01E01,1
22,JERRY,"Oh, shes really great. mean, shes got like real warmth shes really bright really pretty uh... conversation though, mean, was... talking like talking you, but, know, obviously much better.",1,S01E01,1
23,GEORGE,"(smiling) So, know, what, happened?",1,S01E01,1
24,JERRY,"Oh, nothing happened, know, great.",1,S01E01,1
25,GEORGE,"Oh, nothing happened, was...",1,S01E01,1
26,JERRY,Yeah.,1,S01E01,1
27,GEORGE,great!,1,S01E01,1
28,JERRY,Yeah.,1,S01E01,1
29,GEORGE,"So, know, calls says wants go tomorrow night? God bless! Devil you!",1,S01E01,1
30,JERRY,"Yeah, well...not exactly. mean, said, know, called morning said come seminar maybe well get together.",1,S01E01,1
31,GEORGE,"(whistles disapprovingly) Ho ho ho, to? come in?",1,S01E01,1
32,JERRY,"Yeah, but...",1,S01E01,1
33,GEORGE,come maybe well get together? maybe?,1,S01E01,1
34,JERRY,Yeah!,1,S01E01,1
35,GEORGE,"No...no...no, hate tell this. Youre gonna see woman.",1,S01E01,1
36,JERRY,"What, serious...why, call?",1,S01E01,1
37,GEORGE,"know, maybe, know, maybe wanted polite.",1,S01E01,1
38,JERRY,polite? insane!,1,S01E01,1
39,GEORGE,"right, right, didnt want tell this. wanna know called you?",1,S01E01,1
40,JERRY,Yes!,1,S01E01,1
41,GEORGE,"Youre back-up, youre second-line, just-in-case, B-plan, contingency!",1,S01E01,1
42,JERRY,"Oh, get it, button.",1,S01E01,1
43,GEORGE,"Claire, Claire, youre woman, right?",1,S01E01,1
45,GEORGE,"Uhm...Id like ask you...ask analyze hypothetical phone call, know, female point view.",1,S01E01,1
46,GEORGE,"(to Claire) Now, woman calls me, right?",1,S01E01,1
48,GEORGE,says come New York business...,1,S01E01,1
49,JERRY,Oh beautiful!,1,S01E01,1
50,GEORGE,"...and, maybe shell see gets there, woman intend spend time me?",1,S01E01,1
54,GEORGE,polite. rest case.,1,S01E01,1
55,JERRY,"Good. fun? idea, youre talking about, now, come on, come me. (stands up) gotta go get stuff dryer anyway.",1,S01E01,1
56,GEORGE,Im gonna watch laundry.,1,S01E01,1
57,JERRY,"Oh, come on, come-with guy.",1,S01E01,1
58,GEORGE,"Come on, Im tired.",1,S01E01,1
60,GEORGE,"(panicking) Right, knew felt something!",1,S01E01,1
61,GEORGE,Jerry? tell something. dullest moment Ive ever experienced.,1,S01E01,1
62,JERRY,"Well, look guy. Look, hes got everything, hes got detergents, sprays, fabric softeners. first load.",1,S01E01,1
63,GEORGE,"need break, Jerry, know. gotta get city. feel cramped...",1,S01E01,1
64,JERRY,didnt even hear sounded.,1,S01E01,1
65,GEORGE,What?!,1,S01E01,1
66,JERRY,Laura.,1,S01E01,1
67,GEORGE,cant believe- (falls knees) ALREADY DISCUSSED THIS!,1,S01E01,1
68,JERRY,"Yeah, could sure?",1,S01E01,1
69,GEORGE,"Cause signals, Jerry, signals! (snapping fingers) Dont you- right. even ask you, doin tomorrow night, busy?",1,S01E01,1
70,JERRY,No.,1,S01E01,1
71,GEORGE,calls today doesnt make plan tomorrow? that? Saturday night!,1,S01E01,1
72,JERRY,Yeah.,1,S01E01,1
73,GEORGE,"that? ridiculous! dont even know hotel shes staying at, cant call her. Thats signal, Jerry, thats signal! (snaps fingers) Signal!",1,S01E01,1
74,JERRY,Maybe youre right.,1,S01E01,1
75,GEORGE,Maybe Im right? course Im right.,1,S01E01,1
76,JERRY,"insane. know, dont even know shes staying! She, shes gonna call me, unbelievable.",1,S01E01,1
77,GEORGE,"know, know. Listen, stuff done now, dont see dry?",1,S01E01,1
78,JERRY,"no, dont interrupt cycle. machine working, it, knows doing. let finish.",1,S01E01,1
79,GEORGE,Youre gonna overdry it.,1,S01E01,1
80,JERRY,"You, cant overdry.",1,S01E01,1
81,GEORGE,not?,1,S01E01,1
82,JERRY,"cant overwet. see, something wet, wet. thing death. Like die youre dead, right? Lets say drop dead shoot you. Youre gonna die again, youre already dead. cant overdie, cant overdry.",1,S01E01,1
83,GEORGE,(to laundry patrons) questions?,1,S01E01,1
84,JERRY,could tell staying?,1,S01E01,1
85,GEORGE,Look that. Theyre done!,1,S01E01,1
86,JERRY,"Laundry day exciting day life clothes. is...yknow, think it. washing machine nightclub clothes. know, dark, theres bubbles happening, theyre kinda dancing around there- shirt grabs underwear, Cmon babe, lets go. come by, open lid theyll- (stiffens up, clothes) Socks amazing article clothing. hate lives, theyre shoes stinky feet, boring drawers. dryer chance escape know it. knew escape dryer. plan hamper night before, Tomorrow, dryer, Im goin. wait here! dryer door swings open sock waiting side wall. hopes dont see goes road. get buttons sewn faces, join puppet show. theyre showing television detergent getting bloodstains. violent image anybody? Bloodstains? mean, come on, got T-shirt bloodstains it, maybe laundry isnt biggest problem right now. gotta get harpoon chest first.",1,S01E01,1
87,JERRY,"(answering, quickly) know happened Met game, dont say anything, taped it, hello. Yeah, no, Im sorry, wrong number. Yeah,",1,S01E01,1
88,JERRY,(to door) Yeah?,1,S01E01,1
90,JERRY,"(to Kessler) Yeah. (to phone) Yeah, people move. ever seen big trucks street? Yeah, problem.",1,S01E01,1
92,JERRY,"(upset) Ohhhh, doing? Kessler, tape! taped game, one oclock morning! avoided human contact night watch this.",1,S01E01,1
94,JERRY,"Meat? dont, dont know, go... hunt! (Kessler opens refrigerator sticks head in.) Well happened game anyway?",1,S01E01,1
97,JERRY,(cynical) Yeah almost went game. havent building ten years!,1,S01E01,1
99,JERRY,No.,1,S01E01,1
101,JERRY,"Yeah, yeah...you tomorrow.",1,S01E01,1
103,JERRY,"No, okay now, that, girl comin. Uh, misread whole thing.",1,S01E01,1
105,JERRY,dont think so.,1,S01E01,1
107,JERRY,"close, huh?",1,S01E01,1
109,JERRY,"Hello...Oh, hi, Laura.",1,S01E01,1
111,JERRY,"(to phone) believe me, Im always hour. you?... Great... Sure... time plane get in?... got friend George take me...",1,S01E01,1
113,JERRY,"No, its, neighbour... Um... Yeah, got it. (Jerry takes pencil cereal box write on.) Ten-fifteen... No, dont silly, go ahead ask... Yeah, sure... Okay, great, no, trouble all... Ill see tomorrow... Great, bye. (He hangs phone; Kessler) dont believe it. her. wants stay here!",1,S01E01,1
114,JERRY,"father moving hed cigarette mouth whole way. (as father) 'Have got end?...Your ends got come first, easy now, drop down...drop down, ends got come down.'",1,S01E01,1
